Date,Open,High,Low,Close,Adj Close,Volume
2013-10-01,53.919998,54.400002,53.919998,54.360001,44.323685,1159200
2013-10-02,54.110001,54.349998,53.919998,54.340000,44.307365,861100
2013-10-03,54.310001,54.320000,53.759998,53.959999,43.997528,1012100
2013-10-04,53.959999,54.299999,53.880001,54.250000,44.233994,566700
2013-10-07,53.549999,54.049999,53.549999,53.790001,43.858917,858300
2013-10-08,53.830002,53.880001,53.230000,53.250000,43.418613,981100
2013-10-09,53.450001,53.520000,53.029999,53.340000,43.491989,867000
2013-10-10,53.889999,54.490002,53.810001,54.430000,44.380760,718500
2013-10-11,54.279999,54.770000,54.279999,54.759998,44.649830,864900
2013-10-14,54.520000,54.990002,54.419998,54.930000,44.788441,1336100
2013-10-15,54.820000,54.939999,54.560001,54.639999,44.551979,4980600
2013-10-16,54.930000,55.220001,54.860001,55.189999,45.000435,1975300
2013-10-17,55.180000,55.730000,55.180000,55.720001,45.432594,1318800
2013-10-18,55.950001,56.080002,55.759998,56.029999,45.685352,797300
2013-10-21,56.070000,56.130001,55.970001,56.070000,45.717964,2871200
2013-10-22,56.290001,56.660000,56.259998,56.490002,46.060432,691200
2013-10-23,56.169998,56.169998,55.880001,56.060001,45.709816,647500
2013-10-24,56.279999,56.320000,56.099998,56.270000,45.881042,502900
2013-10-25,56.299999,56.330002,56.119999,56.330002,45.929955,1269400
2013-10-28,56.330002,56.459999,56.220001,56.369999,45.962574,419800
2013-10-29,56.389999,56.580002,56.389999,56.570000,46.125652,736300
2013-10-30,56.700001,56.700001,56.110001,56.360001,45.954426,489000
2013-10-31,56.310001,56.430000,56.040001,56.049999,45.701653,718800
2013-11-01,56.009998,56.150002,55.779999,56.040001,45.693508,1841400
2013-11-04,56.119999,56.310001,56.060001,56.299999,45.905502,767800
2013-11-05,55.919998,56.060001,55.700001,55.939999,45.611969,1185800
2013-11-06,56.200001,56.400002,56.150002,56.250000,45.864738,572000
2013-11-07,56.279999,56.290001,55.360001,55.389999,45.163506,1791700
2013-11-08,55.299999,55.939999,55.299999,55.939999,45.611969,790300
2013-11-11,55.950001,56.020000,55.860001,55.959999,45.628269,588600
2013-11-12,55.889999,55.959999,55.650002,55.799999,45.497810,559600
2013-11-13,55.509998,56.139999,55.410000,56.139999,45.775047,586500
2013-11-14,56.110001,56.459999,56.090000,56.419998,46.003345,721500
2013-11-15,56.599998,56.840000,56.599998,56.830002,46.337654,523500
2013-11-18,57.000000,57.110001,56.669998,56.770000,46.288723,783300
2013-11-19,56.779999,56.830002,56.509998,56.619999,46.166424,1107000
2013-11-20,56.759998,56.810001,56.160000,56.270000,45.881042,766200
2013-11-21,56.450001,56.669998,56.380001,56.639999,46.182732,1949000
2013-11-22,56.549999,56.910000,56.549999,56.889999,46.386570,1686700
2013-11-25,56.910000,56.950001,56.660000,56.720001,46.247963,825000
2013-11-26,56.759998,56.810001,56.590000,56.660000,46.199039,1442500
2013-11-27,56.790001,56.919998,56.750000,56.820000,46.329491,638100
2013-11-29,56.990002,57.189999,56.910000,56.919998,46.411034,1040900
2013-12-02,56.869999,56.959999,56.570000,56.590000,46.141968,1374100
2013-12-03,56.430000,56.500000,56.139999,56.310001,45.913662,987300
2013-12-04,56.020000,56.299999,55.740002,56.150002,45.783199,1026300
2013-12-05,56.110001,56.150002,55.849998,55.889999,45.571205,887600
2013-12-06,56.500000,56.619999,56.299999,56.549999,46.109341,465300
2013-12-09,56.619999,56.730000,56.560001,56.639999,46.182732,1096800
2013-12-10,56.430000,56.639999,56.430000,56.529999,46.093040,3442800
2013-12-11,56.529999,56.529999,55.830002,55.880001,45.563053,733200
2013-12-12,55.619999,55.779999,55.369999,55.490002,45.245052,9388300
2013-12-13,55.580002,55.599998,55.340000,55.470001,45.228748,6322800
2013-12-16,55.779999,56.009998,55.750000,55.910000,45.587494,4815600
2013-12-17,55.889999,55.889999,55.590000,55.689999,45.408123,1157800
2013-12-18,55.450001,56.150002,54.959999,56.130001,46.146408,1249200
2013-12-19,55.970001,56.090000,55.770000,56.060001,46.088848,1389200
2013-12-20,56.119999,56.410000,56.090000,56.310001,46.294392,1439900
2013-12-23,56.709999,56.750000,56.560001,56.680000,46.598564,582200
2013-12-24,56.740002,56.869999,56.680000,56.860001,46.746563,404400
2013-12-26,56.939999,57.130001,56.880001,57.090000,46.935654,309400
2013-12-27,57.320000,57.340000,57.200001,57.270000,47.083637,666400
2013-12-30,57.340000,57.419998,57.279999,57.380001,47.174065,652000
2013-12-31,57.520000,57.680000,57.459999,57.619999,47.371384,1597400
2014-01-02,57.189999,57.189999,56.660000,56.799999,46.697227,1530400
2014-01-03,56.820000,56.950001,56.680000,56.770000,46.672562,834700
2014-01-06,56.849998,56.869999,56.570000,56.590000,46.524586,1400600
2014-01-07,56.770000,56.950001,56.770000,56.889999,46.771221,2486000
2014-01-08,56.790001,56.970001,56.730000,56.869999,46.754772,510500
2014-01-09,57.009998,57.009998,56.529999,56.820000,46.713673,793600
2014-01-10,57.070000,57.200001,56.900002,57.189999,47.017860,1145500
2014-01-13,57.139999,57.150002,56.529999,56.639999,46.565693,953200
2014-01-14,56.790001,57.169998,56.650002,57.139999,46.976768,1177500
2014-01-15,57.160000,57.430000,57.130001,57.380001,47.174065,670300
2014-01-16,57.349998,57.349998,57.130001,57.330002,47.132961,1225800
2014-01-17,57.330002,57.330002,57.049999,57.130001,46.968529,907000
2014-01-21,57.360001,57.459999,57.029999,57.279999,47.091854,2054800
2014-01-22,57.320000,57.419998,57.200001,57.360001,47.157627,1396200
2014-01-23,57.160000,57.160000,56.590000,56.849998,46.738335,2046500
2014-01-24,56.360001,56.360001,55.480000,55.500000,45.628452,1650100
2014-01-27,55.619999,55.619999,54.910000,55.209999,45.390034,1306000
